,PUMA,NP,ACCESS,BATH,BDSP,BLD,BROADBND,COMPOTHX,DIALUP,ELEFP,ELEP,FS,FULFP,GASFP,HFL,HISPEED,LAPTOP,OTHSVCEX,REFR,RMSP,RNTM,RNTP,SATELLITE,SMARTPHONE,TABLET,TEL,TEN,VEH,WATFP,YBL,GRPIP,HHL,HHLANP,HHT,HINCP,HUPAC,KIT,LNGI,MULTG,MV,NOC,NPP,NR,PARTNER,PSF,R18,R65,RESMODE,SRNT,SSMC,WGTP_CLT,AMI,AFF_OCC,COST_BURDALL,Cluster
10,"Mecklenburg County (North)--Huntersville, Cornelius & Davidson Towns",2,"Yes, by paying a cell phone company or Internet service provider",Yes,3,2,Yes,No,No,Valid monthly electricity cost in ELEP,50.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Utility gas,Yes,Yes,No,Yes,6,No,1068.0,No,Yes,Yes,Yes,Occupied without payment of rent,1 vehicle,Included in rent or in condo fee,3,36.0,English only,9500.0,"Other family household: Female householder, no spouse present",62000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",13 to 23 months,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple, ,101 to 120%,30% and Below,No,Cluster 0
11,Charlotte City (Northeast),2,"Yes, by paying a cell phone company or Internet service provider",Yes,3,7,Yes,No,No,Valid monthly electricity cost in ELEP,150.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,6,No,1200.0,No,Yes,Yes,Yes,Rented,2 vehicles,Valid annual water cost in WATP,7,10.0,English only,9500.0,Married couple household,165000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",2 to 4 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,291.0,Greater than 120%,61 to 80%,No,Cluster 0
12,Charlotte City (Northeast),1,"No access to the Internet at this house, apartment, or mobile home",Yes,2,6,Yes,No,No,Valid monthly electricity cost in ELEP,90.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,No,No,Yes,4,No,330.0,No,No,No,Yes,Rented,1 vehicle,Included in rent or in condo fee,5,85.0,English only,9500.0,Nonfamily household: Male householder: Living alone,5920.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",10 to 19 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,1 person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,127.0,30% and Below,30% and Below,Yes,Cluster 1
13,Charlotte City (Southwest),2,"Yes, by paying a cell phone company or Internet service provider",Yes,2,4,Yes,No,No,Valid monthly electricity cost in ELEP,100.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,4,No,960.0,No,Yes,Yes,Yes,Rented,2 vehicles,Valid annual water cost in WATP,3,17.0,English only,9500.0,Nonfamily household: Male householder: Not living alone,75000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",13 to 23 months,0.0,Not a grandparent headed household with no parent present,1 or more nonrelatives,"Male householder, female partner",No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,56.96,Greater than 120%,61 to 80%,No,Cluster 0
14,Charlotte City (Northwest),4,"Yes, by paying a cell phone company or Internet service provider",Yes,3,2,Yes,No,No,Valid monthly electricity cost in ELEP,100.0,Yes,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Utility gas,Yes,Yes,No,Yes,6,No,780.0,No,Yes,Yes,Yes,Rented,2 vehicles,Valid annual water cost in WATP,1,36.0,English only,9500.0,"Other family household: Female householder, no spouse present",33700.0,With children under 6 years and 6 to 17 years,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",2 to 4 years,2.0,Not a grandparent headed household with no parent present,1 or more nonrelatives,"Female householder, male partner",No subfamilies,1 or more persons under 18 in household,No person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,172.83,31 to 50%,51 to 60%,Yes,Cluster 3
15,Charlotte City (Northwest),1,"Yes, by paying a cell phone company or Internet service provider",Yes,2,2,Yes,No,No,Valid monthly electricity cost in ELEP,100.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Utility gas,Yes,Yes,No,Yes,5,No,450.0,No,Yes,No,Yes,Rented,2 vehicles,Valid annual water cost in WATP,3,17.0,English only,9500.0,Nonfamily household: Male householder: Living alone,41100.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",20 to 29 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,1 person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,54.99,61 to 80%,31 to 50%,No,Cluster 1
16,Charlotte City (Northeast),1,"Yes, by paying a cell phone company or Internet service provider",Yes,2,9,Yes,No,No,Valid monthly electricity cost in ELEP,140.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,No,No,Yes,5,No,840.0,No,Yes,No,Yes,Rented,No vehicles,Included in rent or in condo fee,2006,45.0,English only,9500.0,Nonfamily household: Female householder: Living alone,26100.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",5 to 9 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Mail,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,91.0,51 to 60%,51 to 60%,Yes,Cluster 1
17,Charlotte City (South),3,"Yes, by paying a cell phone company or Internet service provider",Yes,4,2,Yes,No,No,Valid monthly electricity cost in ELEP,60.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Electricity,Yes,Yes,No,Yes,7,No,1068.0,No,Yes,Yes,Yes,Occupied without payment of rent,4 vehicles,Valid annual water cost in WATP,5,36.0,English only,9500.0,Married couple household,181600.0,With children under 6 years only,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,1.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,1 or more persons under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,57.42,Greater than 120%,30% and Below,No,Cluster 3
18,Charlotte City (Northeast),4,"Yes, by paying a cell phone company or Internet service provider",Yes,3,2,Yes,No,No,Valid monthly electricity cost in ELEP,230.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Utility gas,Yes,Yes,No,Yes,7,No,800.0,Yes,Yes,Yes,Yes,Rented,5 vehicles,Valid annual water cost in WATP,2,15.0,Spanish,1200.0,Married couple household,86300.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",5 to 9 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,183.0,101 to 120%,51 to 60%,No,Cluster 3
19,Charlotte City (Southwest),2,"No access to the Internet at this house, apartment, or mobile home",Yes,2,9,Yes,No,No,Valid monthly electricity cost in ELEP,200.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,No,No,Yes,4,No,700.0,No,No,No,Yes,Rented,1 vehicle,Included in rent or in condo fee,7,95.0,Spanish,1200.0,"Other family household: Female householder, no spouse present",11400.0,With children 6 to 17 years only,"Yes, has stove or range, refrigerator, and sink with a faucet",No one in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",2 to 4 years,1.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,1 or more persons under 18 in household,No person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,200.33,30% and Below,51 to 60%,Yes,Cluster 1
20,Charlotte City (Northwest),1,"No access to the Internet at this house, apartment, or mobile home",Yes,1,6,Yes,No,No,Valid monthly electricity cost in ELEP,270.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,No,No,Yes,3,No,800.0,No,No,No,Yes,Rented,No vehicles,No charge,3,36.0,English only,9500.0,Nonfamily household: Female householder: Living alone,0.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,73.65,30% and Below,61 to 80%,Yes,Cluster 1
21,Mecklenburg County (East)--Mint Hill & Matthews (North) Towns,3,"Yes, by paying a cell phone company or Internet service provider",Yes,4,2,Yes,No,No,Valid monthly electricity cost in ELEP,170.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Utility gas,Yes,Yes,No,Yes,6,No,1800.0,No,Yes,Yes,Yes,Rented,3 vehicles,Valid annual water cost in WATP,2016,21.0,Asian and Pacific Island languages,2575.0,Married couple household,119000.0,With children under 6 years only,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,1.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,1 or more persons under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,31.94,Greater than 120%,81 to 100%,No,Cluster 3
22,Charlotte City (Southwest),2,"Yes, by paying a cell phone company or Internet service provider",Yes,3,2,Yes,No,No,Valid monthly electricity cost in ELEP,70.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,5,No,1300.0,No,Yes,Yes,Yes,Rented,3 vehicles,Included in rent or in condo fee,7,19.0,English only,9500.0,Nonfamily household: Male householder: Not living alone,85000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,0.0,Not a grandparent headed household with no parent present,1 or more nonrelatives,"Male householder, female partner",No subfamilies,No person under 18 in household,No person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,210.15,Greater than 120%,61 to 80%,No,Cluster 0
23,Charlotte City (Southwest),2,"Yes, by paying a cell phone company or Internet service provider",Yes,2,4,Yes,No,No,Valid monthly electricity cost in ELEP,190.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Utility gas,Yes,Yes,No,Yes,6,No,860.0,No,Yes,Yes,Yes,Rented,1 vehicle,Valid annual water cost in WATP,1,12.0,English only,9500.0,Nonfamily household: Female householder: Not living alone,114700.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",2 to 4 years,0.0,Not a grandparent headed household with no parent present,1 or more nonrelatives,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,194.44,Greater than 120%,61 to 80%,No,Cluster 0
24,Charlotte City (South),4,"Yes, by paying a cell phone company or Internet service provider",Yes,3,7,Yes,No,No,No charge or electricity not used,114.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,4,No,1700.0,No,Yes,Yes,Yes,Rented,2 vehicles,Valid annual water cost in WATP,6,26.0,Asian and Pacific Island languages,2560.0,Married couple household,80000.0,With children under 6 years and 6 to 17 years,"Yes, has stove or range, refrigerator, and sink with a faucet",No one in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,2.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,1 or more persons under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,131.67,101 to 120%,81 to 100%,No,Cluster 3
25,Charlotte City (Northeast),1,"Yes, by paying a cell phone company or Internet service provider",Yes,2,9,Yes,No,No,Valid monthly electricity cost in ELEP,100.0,No,No charge or fuel other than gas or electricity not used,Included in electricity payment,Utility gas,Yes,Yes,No,Yes,3,No,1000.0,No,Yes,Yes,Yes,Rented,1 vehicle,Valid annual water cost in WATP,7,101.0,English only,9500.0,Nonfamily household: Male householder: Living alone,10000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,62.0,30% and Below,61 to 80%,Yes,Cluster 1
26,Mecklenburg County (South)--Matthews Town (South),1,"No access to the Internet at this house, apartment, or mobile home",Yes,1,8,Yes,No,No,1.0,114.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,No,No,Yes,3,No,1300.0,No,No,No,Yes,Rented,No vehicles,No charge,5,87.0,English only,9500.0,Nonfamily household: Female householder: Living alone,18000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",5 to 9 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,1 person 65 and over,CATI/CAPI,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,179.31,31 to 50%,81 to 100%,Yes,Cluster 2
27,Charlotte City (South),2,"Yes, by paying a cell phone company or Internet service provider",Yes,2,3,Yes,No,No,Valid monthly electricity cost in ELEP,80.0,No,No charge or fuel other than gas or electricity not used,Valid monthly gas cost in GASP,Utility gas,Yes,No,No,Yes,4,No,900.0,No,Yes,Yes,Yes,Rented,1 vehicle,Valid annual water cost in WATP,6,32.0,English only,9500.0,"Other family household: Female householder, no spouse present",40000.0,With children 6 to 17 years only,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",2 to 4 years,1.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,1 or more persons under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,121.77,61 to 80%,61 to 80%,Yes,Cluster 3
28,Charlotte City (Central),2,"Yes, by paying a cell phone company or Internet service provider",Yes,2,9,Yes,No,No,Valid monthly electricity cost in ELEP,120.0,No,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,Yes,No,Yes,4,No,1900.0,No,Yes,Yes,Yes,Rented,2 vehicles,Valid annual water cost in WATP,7,81.0,English only,9500.0,Nonfamily household: Male householder: Not living alone,30000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",13 to 23 months,0.0,Not a grandparent headed household with no parent present,1 or more nonrelatives,No unmarried partner in household,No subfamilies,No person under 18 in household,No person 65 and over,Internet,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,66.0,51 to 60%,Greater than 120%,Yes,Cluster 0
29,Charlotte City (Northwest),2,"No access to the Internet at this house, apartment, or mobile home",Yes,2,6,Yes,No,No,Valid monthly electricity cost in ELEP,100.0,Yes,No charge or fuel other than gas or electricity not used,No charge or gas not used,Electricity,Yes,No,No,Yes,4,No,500.0,No,No,No,Yes,Rented,No vehicles,No charge,2,36.0,English only,9500.0,Married couple household,20100.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",10 to 19 years,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,1 person 65 and over,Mail,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,40.26,31 to 50%,31 to 50%,Yes,Cluster 1
30,Mecklenburg County (South)--Matthews Town (South),1,"Yes, by paying a cell phone company or Internet service provider",Yes,1,9,Yes,No,No,1.0,114.0,No,Included in rent or in condo fee,Included in rent or in condo fee,Electricity,Yes,Yes,Yes,Yes,2,Yes,500.0,No,Yes,No,Yes,Rented,1 vehicle,Included in rent or in condo fee,6,13.0,English only,9500.0,Nonfamily household: Female householder: Living alone,45000.0,No children,"Yes, has stove or range, refrigerator, and sink with a faucet",At least one person in the household 14 and over speaks English only or speaks English 'very well',"No, not a multigenerational household",12 months or less,0.0,Not a grandparent headed household with no parent present,None,No unmarried partner in household,No subfamilies,No person under 18 in household,1 person 65 and over,Mail,"A single-family home on less than 10 acres or any other type of building, including mobile homes, with no regard to acreage",Households without a same-sex married couple,39.99,81 to 100%,31 to 50%,No,Cluster 2
